time	PD 05		PD 1		PD 2		PD 4		ND 05		ND 1		ND 2		ND 4	
0.077	0.031	0.025	0.019	0.034	0.040	0.030	-0.035	0.052	0.202	0.097	-0.012	0.074	0.174	0.078	0.089	0.087
0.154	0.040	0.026	0.021	0.026	0.064	0.026	-0.010	0.041	0.183	0.096	-0.022	0.068	0.158	0.064	0.096	0.083
0.231	0.046	0.030	0.055	0.042	0.082	0.033	-0.001	0.037	0.187	0.094	-0.014	0.063	0.133	0.049	0.102	0.084
0.308	0.057	0.031	0.008	0.062	0.023	0.067	-0.010	0.032	0.175	0.083	0.000	0.053	0.137	0.045	0.106	0.082
0.385	0.043	0.034	0.004	0.060	0.021	0.064	0.002	0.025	0.163	0.080	0.019	0.049	0.117	0.037	0.101	0.075
0.462	0.050	0.034	0.006	0.058	0.021	0.061	0.003	0.029	0.145	0.073	0.007	0.044	0.110	0.031	0.080	0.066
0.538	0.049	0.034	-0.006	0.056	0.015	0.063	0.003	0.025	0.127	0.068	0.021	0.034	0.091	0.028	0.082	0.062
0.615	0.032	0.030	0.007	0.043	0.027	0.053	0.004	0.024	0.117	0.061	0.019	0.031	0.090	0.030	0.082	0.060
0.692	0.032	0.030	-0.007	0.051	0.029	0.046	0.015	0.025	0.116	0.057	0.006	0.030	0.075	0.029	0.074	0.059
0.769	0.025	0.023	-0.007	0.040	0.018	0.044	0.003	0.026	0.103	0.051	0.010	0.027	0.061	0.025	0.087	0.057
0.846	0.020	0.027	0.007	0.033	0.004	0.040	0.014	0.022	0.091	0.049	0.011	0.024	0.053	0.026	0.059	0.055
0.923	0.006	0.021	-0.015	0.042	-0.002	0.037	0.033	0.030	0.079	0.042	-0.003	0.019	0.040	0.030	0.079	0.045
1.000	0.013	0.024	0.003	0.027	0.005	0.034	0.019	0.022	0.077	0.039	0.021	0.022	0.044	0.027	0.053	0.034
1.077	-0.000	0.023	-0.011	0.032	0.012	0.031	0.013	0.009	0.053	0.034	0.001	0.021	0.028	0.024	0.045	0.039
1.154	-0.014	0.026	-0.002	0.033	0.011	0.026	0.020	0.021	0.041	0.023	-0.005	0.019	0.010	0.029	0.033	0.025
1.231	-0.017	0.022	-0.017	0.032	0.004	0.020	0.018	0.015	0.039	0.025	0.006	0.010	-0.002	0.029	0.047	0.017
1.308	-0.011	0.023	-0.005	0.017	0.030	0.017	-0.002	0.010	0.031	0.018	0.006	0.013	-0.001	0.032	0.064	0.020
1.385	-0.023	0.022	-0.011	0.012	0.006	0.012	0.010	0.009	0.024	0.017	0.015	0.009	-0.018	0.025	0.034	0.025
1.462	-0.012	0.017	-0.015	0.011	-0.008	0.006	0.007	0.010	0.014	0.014	0.004	0.007	-0.025	0.032	0.048	0.023
1.538	-0.015	0.020	-0.015	0.011	-0.002	0.010	0.016	0.016	0.018	0.015	0.001	0.006	0.020	0.006	0.012	0.020
1.615	-0.020	0.017	-0.005	0.008	-0.008	0.007	-0.008	0.007	-0.002	0.009	0.002	0.004	0.009	0.007	0.016	0.022
1.692	-0.019	0.020	-0.001	0.010	0.003	0.006	-0.009	0.010	0.018	0.024	0.010	0.007	-0.024	0.027	-0.019	0.014
1.769	0.024	0.055	0.010	0.010	-0.015	0.007	-0.007	0.008	-0.010	0.007	0.008	0.007	-0.005	0.004	0.015	0.019
1.846	0.046	0.069	-0.008	0.012	-0.004	0.006	-0.004	0.006	-0.011	0.011	-0.001	0.008	-0.016	0.008	-0.027	0.012
1.923	0.007	0.029	-0.014	0.014	-0.015	0.008	-0.018	0.017	-0.003	0.024	-0.004	0.008	0.017	0.023	-0.036	0.016
2.000	0.020	0.028	-0.006	0.019	-0.016	0.007	-0.004	0.009	0.004	0.023	-0.011	0.009	-0.001	0.019	-0.043	0.017
2.077	0.045	0.024	-0.011	0.023	-0.015	0.011	0.000	0.009	-0.045	0.021	-0.007	0.008	0.007	0.024	-0.040	0.016
2.154	0.117	0.055	-0.016	0.019	-0.001	0.016	0.006	0.012	-0.006	0.029	-0.006	0.009	0.002	0.024	-0.049	0.020
2.231	0.193	0.056	-0.001	0.030	-0.006	0.013	-0.005	0.014	-0.060	0.023	-0.007	0.009	0.032	0.060	-0.022	0.025
