time	PD 05		PD 1		PD 2		PD 4	
0.077	0.258	0.287	0.057	0.035	0.042	0.063	0.079	0.048
0.154	0.231	0.290	0.027	0.029	0.096	0.085	0.062	0.032
0.231	0.257	0.332	0.090	0.020	0.043	0.063	0.048	0.038
0.308	0.229	0.383	0.018	0.026	0.028	0.068	0.050	0.027
0.385	-0.069	0.105	0.043	0.051	0.076	0.066	0.083	0.035
0.462	-0.039	0.114	0.009	0.045	0.018	0.070	-0.002	0.036
0.538	-0.069	0.109	0.024	0.027	-0.043	0.068	0.006	0.038
0.615	-0.062	0.100	-0.010	0.029	-0.005	0.077	0.047	0.034
0.692	-0.062	0.097	-0.006	0.031	-0.032	0.066	0.060	0.032
0.769	-0.063	0.062	0.034	0.023	-0.024	0.052	0.070	0.031
0.846	-0.011	0.071	-0.008	0.031	0.004	0.068	0.031	0.017
0.923	-0.015	0.064	0.008	0.031	-0.062	0.058	0.006	0.030
1.000	0.016	0.037	0.021	0.029	-0.041	0.059	0.046	0.033
1.077	0.031	0.037	0.021	0.022	-0.064	0.060	0.030	0.017
1.154	0.053	0.049	-0.026	0.025	-0.071	0.045	0.062	0.026
1.231	0.119	0.080	0.002	0.038	-0.053	0.061	-0.002	0.017
1.308	0.200	0.104	0.002	0.021	-0.026	0.059	0.053	0.028
1.385	0.110	0.085	-0.017	0.032	-0.027	0.056	-0.023	0.022
1.462	0.096	0.079	-0.033	0.027	-0.032	0.054	-0.021	0.026
1.538	0.026	0.060	-0.044	0.027	-0.051	0.063	0.018	0.032
1.615	0.002	0.060	-0.018	0.028	-0.066	0.052	0.038	0.023
1.692	-0.062	0.051	0.000	0.019	-0.097	0.054	0.024	0.031
1.769	-0.059	0.048	-0.041	0.029	-0.065	0.058	-0.007	0.024
1.846	-0.102	0.039	-0.035	0.035	-0.035	0.039	-0.041	0.026
1.923	-0.092	0.040	0.003	0.027	0.011	0.077	0.010	0.021
2.000	-0.138	0.059	0.098	0.046	-0.022	0.058	-0.024	0.027
2.077	-0.130	0.059	0.025	0.029	-0.001	0.057	-0.039	0.027
2.154	-0.163	0.061	0.007	0.026	0.005	0.078	-0.022	0.029
2.231	-0.111	0.058	0.030	0.024	0.075	0.090	-0.028	0.017
2.308	-0.159	0.057	0.010	0.018	0.068	0.092	0.002	0.030
2.385	-0.135	0.081	-0.013	0.043	0.056	0.089	0.022	0.036
2.462	-0.203	0.076	-0.039	0.038	0.044	0.080	-0.025	0.034
2.538	-0.172	0.065	-0.057	0.036	0.050	0.083	0.042	0.043
2.615	-0.102	0.069	-0.082	0.028	0.087	0.092	0.114	0.083
2.692	-0.047	0.106	-0.022	0.041	0.262	0.126	0.057	0.067
2.769	0.127	0.106	0.049	0.042	0.341	0.126	0.060	0.060
2.846	0.295	0.130	0.352	0.071	0.286	0.109	0.080	0.069
2.923	0.642	0.185	0.839	0.175	0.210	0.105	0.153	0.087
3.000	1.111	0.204	1.128	0.181	0.207	0.075	0.090	0.084
3.077	1.547	0.226	1.172	0.166	0.189	0.099	0.097	0.097
3.154	1.958	0.252	1.088	0.185	0.369	0.138	0.077	0.074
3.231	2.315	0.271	0.830	0.152	0.560	0.182	0.050	0.074
