time	PD 05		PD 1		PD 2		PD 4		ND 05		ND 1		ND 2		ND 4	
0.0769	0.0075	0.0054	-0.0025	0.0060	0.0117	0.0065	0.0079	0.0047	0.0022	0.0061	0.0166	0.0059	0.0097	0.0090	0.0009	0.0045
0.1538	0.0076	0.0047	-0.0063	0.0061	0.0069	0.0055	0.0069	0.0055	-0.0048	0.0042	0.0115	0.0043	0.0101	0.0108	-0.0010	0.0051
0.2308	0.0063	0.0044	-0.0051	0.0063	0.0015	0.0038	0.0048	0.0045	-0.0019	0.0033	0.0105	0.0041	0.0060	0.0081	-0.0067	0.0040
0.3077	0.0109	0.0049	-0.0030	0.0055	0.0011	0.0043	0.0031	0.0052	-0.0062	0.0033	0.0079	0.0041	0.0040	0.0090	-0.0021	0.0032
0.3846	0.0032	0.0039	0.0017	0.0037	0.0032	0.0059	0.0059	0.0053	-0.0070	0.0037	0.0100	0.0045	0.0037	0.0049	0.0010	0.0046
0.4615	0.0023	0.0049	-0.0003	0.0030	0.0005	0.0056	0.0012	0.0024	-0.0079	0.0034	0.0153	0.0033	-0.0003	0.0050	0.0045	0.0041
0.5385	-0.0053	0.0048	0.0008	0.0038	-0.0026	0.0047	-0.0044	0.0034	-0.0036	0.0030	0.0098	0.0040	0.0047	0.0040	0.0026	0.0047
0.6154	-0.0017	0.0032	-0.0003	0.0021	-0.0003	0.0053	-0.0047	0.0032	-0.0049	0.0032	0.0086	0.0031	0.0087	0.0050	-0.0005	0.0041
0.6923	-0.0014	0.0026	0.0035	0.0030	-0.0005	0.0049	-0.0043	0.0025	-0.0034	0.0034	0.0061	0.0028	0.0009	0.0053	-0.0060	0.0030
0.7692	0.0007	0.0029	0.0003	0.0032	-0.0034	0.0053	-0.0018	0.0028	0.0007	0.0030	0.0097	0.0043	0.0046	0.0046	-0.0000	0.0036
0.8462	0.0012	0.0027	-0.0013	0.0032	0.0035	0.0031	0.0018	0.0026	0.0016	0.0051	0.0038	0.0033	0.0053	0.0041	0.0074	0.0032
0.9231	-0.0013	0.0028	-0.0010	0.0023	0.0043	0.0025	0.0034	0.0018	-0.0009	0.0049	0.0056	0.0039	0.0014	0.0030	-0.0032	0.0036
1.0000	-0.0002	0.0024	0.0004	0.0032	0.0069	0.0024	-0.0116	0.0038	-0.0022	0.0031	0.0035	0.0026	0.0009	0.0039	0.0035	0.0033
1.0769	0.0028	0.0021	0.0018	0.0027	0.0048	0.0029	-0.0057	0.0030	0.0006	0.0028	0.0064	0.0024	0.0021	0.0030	0.0024	0.0034
